INTERACTION_ID,CUSTOMER_ID,TIER,CONTACT_DATE,CALL_TYPE,CALL_DURATION,REACH_BACK
INT000001,7278180945,tier_1,2025-02-12,Inbound,30,true
INT000002,7278180945,tier_1,2025-09-24,Inbound,40,false
INT000003,7278180945,tier_1,2025-09-12,Inbound,10,false
INT000004,7278180945,tier_1,2025-04-29,Follow-up,30,false
INT000005,7278180945,tier_1,2025-09-21,Follow-up,20,false
INT000006,7278180945,tier_1,2025-10-06,Outbound,20,false
INT000007,7278180945,tier_1,2025-08-27,Inbound,50,true
INT000008,7278180945,tier_1,2025-07-14,Follow-up,10,true
INT000009,7278180945,tier_1,2025-12-13,Outbound,20,false
INT000010,9368456615,tier_1,2025-12-26,Outbound,30,true
INT000011,9368456615,tier_1,2025-06-22,Outbound,20,true
INT000012,9368456615,tier_1,2025-01-24,Inbound,30,false
INT000013,9368456615,tier_1,2025-10-04,Outbound,20,true
INT000014,9368456615,tier_1,2025-02-20,Follow-up,50,false
INT000015,9368456615,tier_1,2025-05-11,Follow-up,40,false
INT000016,9368456615,tier_1,2025-05-09,Follow-up,30,true
INT000017,9368456615,tier_1,2025-08-27,Follow-up,10,false
INT000018,1884186412,tier_1,2025-07-24,Inbound,40,true
INT000019,1884186412,tier_1,2025-04-09,Follow-up,30,true
INT000020,1884186412,tier_1,2025-02-07,Inbound,20,true
INT000021,1884186412,tier_1,2025-07-07,Outbound,50,false
INT000022,1884186412,tier_1,2025-01-13,Inbound,40,false
INT000023,1884186412,tier_1,2025-07-22,Outbound,40,true
INT000024,1884186412,tier_1,2025-10-10,Inbound,50,true
INT000025,1884186412,tier_1,2025-02-08,Outbound,50,false
INT000026,2668733731,tier_1,2025-11-02,Inbound,30,false
INT000027,2668733731,tier_1,2025-01-24,Follow-up,20,true
INT000028,2668733731,tier_1,2025-01-20,Outbound,30,false
INT000029,2668733731,tier_1,2025-12-27,Inbound,30,false
INT000030,2668733731,tier_1,2025-04-08,Follow-up,30,false
INT000031,2668733731,tier_1,2025-04-09,Inbound,40,false
INT000032,4972613781,tier_2,2025-08-03,Inbound,30,false
INT000033,4972613781,tier_2,2025-01-04,Follow-up,30,false
INT000034,4972613781,tier_2,2025-04-28,Follow-up,50,false
INT000035,4972613781,tier_2,2025-03-18,Follow-up,50,true
INT000036,4972613781,tier_2,2025-10-19,Follow-up,10,false
INT000037,4972613781,tier_2,2025-03-22,Inbound,50,true
INT000038,8465744235,tier_2,2025-06-13,Outbound,10,true
INT000039,8465744235,tier_2,2025-07-21,Follow-up,30,false
INT000040,8465744235,tier_2,2025-06-23,Follow-up,40,false
INT000041,8465744235,tier_2,2025-02-08,Inbound,40,false
INT000042,8465744235,tier_2,2025-10-25,Inbound,10,false
INT000043,8465744235,tier_2,2025-02-14,Follow-up,40,false
INT000044,8465744235,tier_2,2025-06-04,Follow-up,20,true
INT000045,3731207611,unidentified,2025-04-01,Outbound,10,false
INT000046,3731207611,unidentified,2025-08-10,Follow-up,30,false
INT000047,3731207611,unidentified,2025-10-09,Inbound,50,false
INT000048,7463548923,tier_1,2025-11-20,Follow-up,10,false
INT000049,7463548923,tier_1,2025-04-30,Follow-up,20,true
INT000050,7463548923,tier_1,2025-04-28,Outbound,30,false
INT000051,7463548923,tier_1,2025-02-11,Outbound,40,true
INT000052,7463548923,tier_1,2025-11-24,Follow-up,30,false
INT000053,7463548923,tier_1,2025-09-13,Inbound,50,false
INT000054,7463548923,tier_1,2025-02-26,Follow-up,10,false
INT000055,7463548923,tier_1,2025-05-18,Inbound,40,false
INT000056,7463548923,tier_1,2025-11-27,Outbound,30,false
INT000057,3968248820,tier_1,2025-11-25,Outbound,30,false
INT000058,3968248820,tier_1,2025-05-07,Follow-up,40,false
INT000059,3968248820,tier_1,2025-10-08,Follow-up,30,false
INT000060,3968248820,tier_1,2025-02-06,Inbound,50,true
INT000061,3968248820,tier_1,2025-04-24,Follow-up,10,false
INT000062,3968248820,tier_1,2025-05-09,Inbound,30,true
INT000063,3968248820,tier_1,2025-07-11,Inbound,30,true
INT000064,6095762411,tier_2,2025-04-13,Follow-up,30,false
INT000065,6095762411,tier_2,2025-07-03,Inbound,20,false
INT000066,6095762411,tier_2,2025-06-27,Outbound,50,false
INT000067,6095762411,tier_2,2025-04-15,Follow-up,30,false
INT000068,6095762411,tier_2,2025-07-29,Follow-up,50,false
INT000069,6095762411,tier_2,2025-08-14,Follow-up,50,false
INT000070,6095762411,tier_2,2025-05-01,Follow-up,30,false
INT000071,7204715657,tier_3,2025-07-27,Inbound,20,false
