CONGRESS_INTERACTION_ID,CUSTOMER_ID,TIER,CONGRESS_NAME,MODE,START_TIME,END_TIME,INVITATION_SENT,REGISTERED,ATTENDED,SESSIONS_ATTENDED,MINUTES_SPENT,PARTICIPATION_TYPE,BOOTH_VISIT,MSL_MEETING,INTENT_SCORE,POST_CONGRESS_FOLLOWUP
CON00001,3380529591,tier_1,Clinical Excellence Y,Virtual,2025-02-20 09:00:00.000,2025-02-20 15:00:00.000,true,false,false,0,0,Delegate,false,false,2,true
CON00002,3380529591,tier_1,Global Med Summit A,Physical,2025-05-09 13:00:00.000,2025-05-09 15:00:00.000,true,true,true,2,60,Delegate,true,false,5,true
CON00003,2562647438,tier_2,Global Med Summit A,Physical,2025-11-09 12:00:00.000,2025-11-09 15:00:00.000,true,true,true,2,60,Delegate,false,true,5,false
CON00004,9477949568,tier_2,Global Med Summit A,Virtual,2025-06-19 10:00:00.000,2025-06-19 12:00:00.000,true,true,true,2,80,Delegate,false,true,5,true
CON00005,3697360693,tier_1,Therapy Advance Z,Physical,2025-11-29 16:00:00.000,2025-11-30 00:00:00.000,true,true,false,0,0,Delegate,false,false,1,true
CON00006,3697360693,tier_1,World Therapy Connect,Hybrid,2025-06-18 10:00:00.000,2025-06-18 13:00:00.000,true,true,false,0,0,Delegate,false,false,2,false
CON00007,9612563773,tier_2,Clinical Excellence Y,Virtual,2025-01-07 11:00:00.000,2025-01-07 18:00:00.000,true,true,true,1,40,Delegate,false,true,5,true
CON00008,9612563773,tier_2,Clinical Excellence Y,Virtual,2025-01-30 15:00:00.000,2025-01-30 22:00:00.000,true,true,true,6,240,Delegate,true,false,4,true
CON00009,9649351491,tier_1,Future Care 360,Hybrid,2025-10-28 14:00:00.000,2025-10-28 22:00:00.000,true,false,false,0,0,Delegate,false,false,2,true
CON00010,5729468829,tier_2,World Therapy Connect,Virtual,2025-05-11 15:00:00.000,2025-05-11 18:00:00.000,true,true,true,4,160,Delegate,true,true,3,false
CON00011,2730390409,tier_1,Med Innovation Hub,Physical,2025-09-23 16:00:00.000,2025-09-23 20:00:00.000,true,true,true,4,180,Delegate,false,false,5,true
CON00012,5838597182,tier_2,Future Care 360,Virtual,2025-06-24 14:00:00.000,2025-06-24 20:00:00.000,true,true,false,0,0,Delegate,false,false,2,false
CON00013,5838597182,tier_2,Therapy Advance Z,Hybrid,2025-12-02 12:00:00.000,2025-12-02 17:00:00.000,true,true,true,4,240,Delegate,true,true,3,false
CON00014,5838597182,tier_2,Health Forum X,Hybrid,2025-03-02 14:00:00.000,2025-03-02 21:00:00.000,true,true,true,6,360,Speaker,false,true,3,false
CON00015,3077980694,tier_1,Med Innovation Hub,Physical,2025-12-01 12:00:00.000,2025-12-01 18:00:00.000,true,true,false,0,0,Speaker,false,false,2,true
CON00016,3077980694,tier_1,Global Med Summit A,Physical,2025-07-21 08:00:00.000,2025-07-21 14:00:00.000,true,true,true,3,120,Delegate,true,true,3,true
CON00017,5305073203,tier_2,World Therapy Connect,Virtual,2025-05-18 12:00:00.000,2025-05-18 18:00:00.000,true,true,true,1,60,Delegate,false,true,3,true
CON00018,5305073203,tier_2,Future Care 360,Physical,2025-04-20 11:00:00.000,2025-04-20 17:00:00.000,true,false,false,0,0,Delegate,false,false,3,false
CON00019,5305073203,tier_2,Global Med Summit A,Virtual,2025-05-26 13:00:00.000,2025-05-26 15:00:00.000,true,true,true,5,300,Delegate,false,true,3,false
CON00020,3926998899,tier_2,Clinical Excellence Y,Virtual,2025-12-18 10:00:00.000,2025-12-18 16:00:00.000,true,true,true,5,150,Delegate,true,true,4,true
CON00021,3926998899,tier_2,Therapy Advance Z,Hybrid,2025-10-19 14:00:00.000,2025-10-19 21:00:00.000,true,true,true,4,120,Delegate,false,false,3,true
CON00022,5634979915,tier_1,Future Care 360,Hybrid,2025-02-17 13:00:00.000,2025-02-17 15:00:00.000,true,true,true,4,120,Chairperson,true,false,4,false
CON00023,5634979915,tier_1,Future Care 360,Hybrid,2025-08-10 10:00:00.000,2025-08-10 12:00:00.000,true,true,true,6,270,Speaker,false,false,3,true
CON00024,5634979915,tier_1,Future Care 360,Physical,2025-12-24 11:00:00.000,2025-12-24 16:00:00.000,true,true,true,6,180,Delegate,true,false,3,false
CON00025,3706699253,tier_2,Health Forum X,Hybrid,2025-04-02 13:00:00.000,2025-04-02 18:00:00.000,true,false,false,0,0,Delegate,false,false,3,false
CON00026,8850312271,tier_2,Med Innovation Hub,Virtual,2025-11-08 10:00:00.000,2025-11-08 12:00:00.000,true,true,true,1,60,Delegate,true,true,3,true
CON00027,8850312271,tier_2,Med Innovation Hub,Virtual,2025-04-04 16:00:00.000,2025-04-04 18:00:00.000,true,true,true,6,180,Delegate,true,false,4,false
CON00028,8850312271,tier_2,Global Med Summit A,Physical,2025-06-16 08:00:00.000,2025-06-16 15:00:00.000,true,true,true,6,240,Delegate,true,false,4,false
CON00029,1105215699,tier_2,Therapy Advance Z,Hybrid,2025-07-11 15:00:00.000,2025-07-11 21:00:00.000,true,true,true,2,80,Delegate,false,true,4,true
CON00030,9542034632,tier_2,Med Innovation Hub,Physical,2025-04-16 08:00:00.000,2025-04-16 14:00:00.000,true,true,true,5,300,Delegate,false,false,5,false
CON00031,6943444487,tier_1,Global Med Summit A,Virtual,2025-05-23 16:00:00.000,2025-05-23 21:00:00.000,true,false,false,0,0,Delegate,false,false,3,true
CON00032,6943444487,tier_1,Health Forum X,Physical,2025-03-11 11:00:00.000,2025-03-11 18:00:00.000,true,false,false,0,0,Delegate,false,false,3,false
CON00033,6943444487,tier_1,Global Med Summit A,Virtual,2025-03-02 14:00:00.000,2025-03-02 19:00:00.000,true,true,true,4,120,Speaker,true,true,3,true
CON00034,7589304264,tier_2,Global Med Summit A,Physical,2025-09-17 11:00:00.000,2025-09-17 13:00:00.000,true,true,false,0,0,Speaker,false,false,3,true
CON00035,7589304264,tier_2,Global Med Summit A,Virtual,2025-07-07 13:00:00.000,2025-07-07 21:00:00.000,true,true,true,6,240,Delegate,true,false,5,true
CON00036,7589304264,tier_2,Future Care 360,Physical,2025-02-18 16:00:00.000,2025-02-18 20:00:00.000,true,true,true,5,200,Delegate,true,true,4,false
CON00037,6015653517,tier_2,Therapy Advance Z,Physical,2025-10-09 12:00:00.000,2025-10-09 19:00:00.000,true,true,true,4,180,Speaker,false,false,5,true
CON00038,2469379058,tier_2,Health Forum X,Physical,2025-10-05 10:00:00.000,2025-10-05 14:00:00.000,true,true,true,1,60,Delegate,true,true,4,true
CON00039,2469379058,tier_2,World Therapy Connect,Physical,2025-12-02 11:00:00.000,2025-12-02 14:00:00.000,true,false,false,0,0,Delegate,false,false,1,true
CON00040,9971664835,tier_2,Clinical Excellence Y,Physical,2025-09-27 11:00:00.000,2025-09-27 14:00:00.000,true,true,true,1,45,Delegate,false,true,5,true
CON00041,9971664835,tier_2,Clinical Excellence Y,Physical,2025-12-02 09:00:00.000,2025-12-02 15:00:00.000,true,true,true,3,120,Delegate,true,false,4,false
CON00042,1987327919,tier_2,Therapy Advance Z,Physical,2025-11-08 13:00:00.000,2025-11-08 16:00:00.000,true,false,false,0,0,Delegate,false,false,1,true
CON00043,1987327919,tier_2,Future Care 360,Physical,2025-08-09 16:00:00.000,2025-08-09 18:00:00.000,true,true,true,6,360,Delegate,true,true,5,false
CON00044,6762785683,tier_2,Therapy Advance Z,Physical,2025-01-07 12:00:00.000,2025-01-07 20:00:00.000,true,true,false,0,0,Delegate,false,false,3,true
CON00045,2502250451,tier_2,Therapy Advance Z,Virtual,2025-07-21 08:00:00.000,2025-07-21 12:00:00.000,true,true,true,1,40,Delegate,false,false,5,false
CON00046,2502250451,tier_2,Future Care 360,Virtual,2025-10-23 12:00:00.000,2025-10-23 18:00:00.000,true,false,false,0,0,Delegate,false,false,2,true
CON00047,2502250451,tier_2,Health Forum X,Hybrid,2025-04-11 12:00:00.000,2025-04-11 19:00:00.000,true,true,true,2,80,Delegate,true,false,5,true
CON00048,4669770275,tier_2,Med Innovation Hub,Hybrid,2025-09-26 16:00:00.000,2025-09-26 18:00:00.000,true,true,true,6,270,Delegate,false,false,4,true
