MONTH,AREA,TERRITORY,CHANNEL,PACKAGE,IMPRESSIONS,REACH,FREQUENCY,VIEWABLE_IMPRESSIONS,VIEWABILITY_RATE,CLICKS,COST,CTR,AVG_CPC,CPM,POST_VIEW_SESSIONS,POST_CLICK_SESSIONS
2025-01,Area_13,T164,Display,P_01,1753705,501319,3.50,1322210,0.7540,1225,503193.60,0.00070,410.77,286.93,9657,1114
2025-02,Area_13,T164,Display,P_02,1543438,656546,2.35,1230591,0.7973,2254,239204.31,0.00146,106.12,154.98,8317,3020
2025-03,Area_13,T164,Display,P_03,1323252,482969,2.74,1070656,0.8091,6185,386430.58,0.00467,62.48,292.03,51429,6611
2025-04,Area_13,T164,Display,P_04,215640,73729,2.92,175256,0.8127,1206,62185.69,0.00559,51.56,288.38,6089,1161
2025-05,Area_13,T164,Display,P_05,1681836,876143,1.92,1075715,0.6396,3467,199040.91,0.00206,57.41,118.35,21568,4094
2025-06,Area_13,T164,Display,P_06,596965,170030,3.51,425202,0.7123,2785,82111.08,0.00467,29.48,137.55,23979,3882
2025-07,Area_13,T164,Display,P_07,1249690,506554,2.47,841174,0.6731,6193,240065.08,0.00496,38.76,192.10,57522,7078
2025-08,Area_13,T164,Display,P_08,929473,271920,3.42,629250,0.6770,4718,35111.13,0.00508,7.44,37.78,23450,6128
2025-09,Area_13,T164,Display,P_09,1336174,376364,3.55,790880,0.5919,3617,123498.99,0.00271,34.14,92.43,25800,5137
2025-10,Area_13,T164,Display,P_10,550400,178083,3.09,372226,0.6763,1184,157434.69,0.00215,132.97,286.04,9242,1550
2025-11,Area_13,T164,Display,P_11,1989055,594142,3.35,1368855,0.6882,10447,436765.37,0.00525,41.81,219.58,43624,9668
2025-12,Area_13,T164,Display,P_12,1369809,354008,3.87,850421,0.6208,5957,307423.44,0.00435,51.61,224.43,33090,4889
2025-01,Area_1,T007,Display,P_01,970345,488369,1.99,783265,0.8072,1428,126970.32,0.00147,88.91,130.85,8105,1712
2025-02,Area_1,T007,Display,P_02,1794465,515822,3.48,1156970,0.6447,6273,322406.28,0.00350,51.40,179.67,47005,6077
2025-03,Area_1,T007,Display,P_03,1689392,747628,2.26,1271466,0.7526,9427,82597.32,0.00558,8.76,48.89,79869,7773
2025-04,Area_1,T007,Display,P_04,1348120,417867,3.23,932508,0.6917,6881,87656.32,0.00510,12.74,65.02,45919,5591
2025-05,Area_1,T007,Display,P_05,175274,53422,3.28,104328,0.5952,680,12397.09,0.00388,18.23,70.73,4237,1010
2025-06,Area_1,T007,Display,P_06,1205695,324700,3.71,742015,0.6154,4673,180287.80,0.00388,38.58,149.53,38656,5234
2025-07,Area_1,T007,Display,P_07,670177,212629,3.15,437962,0.6535,3187,140556.53,0.00476,44.10,209.73,18901,3975
2025-08,Area_1,T007,Display,P_08,297091,155783,1.91,231199,0.7782,1432,68159.74,0.00482,47.60,229.42,6589,1476
2025-09,Area_1,T007,Display,P_09,1187981,521739,2.28,1000810,0.8424,3881,344000.18,0.00327,88.64,289.57,25270,3203
2025-10,Area_1,T007,Display,P_10,235122,131450,1.79,165420,0.7035,452,14067.12,0.00192,31.12,59.83,1951,464
2025-11,Area_1,T007,Display,P_11,150665,46160,3.26,96186,0.6384,434,30888.55,0.00288,71.17,205.01,3857,476
2025-12,Area_1,T007,Display,P_12,762090,372542,2.05,433481,0.5688,3641,124948.98,0.00478,34.32,163.96,17912,4976
2025-01,Area_5,T063,Display,P_01,1275840,422913,3.02,830939,0.6513,1862,81766.60,0.00146,43.91,64.09,10506,1689
2025-02,Area_5,T063,Display,P_02,1401377,492086,2.85,1083445,0.7731,7620,145700.46,0.00544,19.12,103.97,51313,6806
2025-03,Area_5,T063,Display,P_03,1944299,801148,2.43,1477134,0.7597,8978,314264.07,0.00462,35.00,161.63,83302,9199
2025-04,Area_5,T063,Display,P_04,1203850,311794,3.86,777401,0.6458,5746,353058.79,0.00477,61.44,293.27,45471,5813
2025-05,Area_5,T063,Display,P_05,1827388,673998,2.71,1389483,0.7604,1986,236425.13,0.00109,119.05,129.38,19328,2617
2025-06,Area_5,T063,Display,P_06,274419,86919,3.16,169583,0.6180,921,46070.10,0.00336,50.02,167.88,3456,1262
2025-07,Area_5,T063,Display,P_07,317660,147829,2.15,255488,0.8043,1520,75132.71,0.00478,49.43,236.52,6890,1348
2025-08,Area_5,T063,Display,P_08,591317,314166,1.88,476807,0.8063,1464,34073.96,0.00248,23.27,57.62,4773,1638
2025-09,Area_5,T063,Display,P_09,1039313,261564,3.97,609375,0.5863,5630,273277.71,0.00542,48.54,262.94,26048,5671
2025-10,Area_5,T063,Display,P_10,944517,258762,3.65,746635,0.7905,1660,158062.53,0.00176,95.22,167.35,11261,1669
2025-11,Area_5,T063,Display,P_11,420081,243684,1.72,273333,0.6507,652,95695.19,0.00155,146.77,227.80,4274,691
2025-12,Area_5,T063,Display,P_12,1268682,583491,2.17,999082,0.7875,4175,197578.66,0.00329,47.32,155.74,20207,5102
