EMAIL_INTERACTION_ID,CUSTOMER_ID,TIER,EMAIL_DATE,DELIVERY_STATUS,OPENED_FLAG,CLICKED_FLAG,REPLY_RECEIVED,REACH_BACK,EMAIL_TYPE,SUBJECT_CATEGORY
EML000001,9975945462,tier_3,2025-05-23,Delivered,false,false,false,false,Education,Generic
EML000002,9975945462,tier_3,2025-09-02,Delivered,false,false,false,false,Reminder,Product
EML000003,9975945462,tier_3,2025-01-04,Delivered,true,false,false,false,Follow-up,Offer
EML000004,9975945462,tier_3,2025-02-28,Delivered,false,false,false,false,Promo,Generic
EML000005,9975945462,tier_3,2025-05-11,Delivered,true,false,false,false,Education,Offer
EML000006,9975945462,tier_3,2025-06-29,Delivered,false,false,false,false,Reminder,Product
EML000007,5933102147,tier_2,2025-01-10,Delivered,true,false,false,false,Reminder,Generic
EML000008,5933102147,tier_2,2025-04-06,Bounced,false,false,false,false,Follow-up,Offer
EML000009,5933102147,tier_2,2025-04-04,Delivered,false,false,false,false,Education,Generic
EML000010,5933102147,tier_2,2025-07-01,Delivered,false,false,false,false,Promo,Product
EML000011,5933102147,tier_2,2025-08-29,Delivered,false,false,false,false,Education,Awareness
EML000012,5933102147,tier_2,2025-12-25,Delivered,false,false,false,false,Follow-up,Offer
EML000013,9854439585,unidentified,2025-02-02,Delivered,false,false,false,false,Education,Generic
EML000014,9854439585,unidentified,2025-09-09,Delivered,true,false,false,false,Follow-up,Offer
EML000015,7947530285,unidentified,2025-05-04,Delivered,true,false,false,true,Education,Offer
EML000016,7947530285,unidentified,2025-05-15,Delivered,false,false,false,false,Education,Awareness
EML000017,7947530285,unidentified,2025-12-31,Delivered,false,false,false,false,Promo,Product
EML000018,4675834262,unidentified,2025-08-10,Delivered,false,false,false,false,Education,Awareness
EML000019,4675834262,unidentified,2025-01-21,Delivered,false,false,false,false,Follow-up,Generic
EML000020,4675834262,unidentified,2025-04-24,Delivered,false,false,false,false,Promo,Offer
EML000021,4427245653,tier_2,2025-07-24,Delivered,false,false,false,false,Promo,Awareness
EML000022,4427245653,tier_2,2025-11-04,Delivered,false,false,false,false,Follow-up,Awareness
EML000023,4427245653,tier_2,2025-03-24,Delivered,false,false,false,false,Follow-up,Offer
EML000024,4427245653,tier_2,2025-09-17,Delivered,false,false,false,false,Follow-up,Offer
EML000025,4427245653,tier_2,2025-06-25,Delivered,true,false,false,false,Promo,Generic
EML000026,4427245653,tier_2,2025-09-09,Delivered,true,false,false,false,Follow-up,Generic
EML000027,3553783638,tier_2,2025-03-17,Delivered,false,false,false,false,Follow-up,Awareness
EML000028,3553783638,tier_2,2025-12-02,Delivered,true,false,false,false,Education,Awareness
EML000029,3553783638,tier_2,2025-11-19,Delivered,false,false,false,false,Promo,Generic
EML000030,3553783638,tier_2,2025-06-23,Delivered,false,false,false,false,Promo,Product
EML000031,3553783638,tier_2,2025-06-13,Delivered,false,false,false,false,Reminder,Generic
EML000032,3553783638,tier_2,2025-07-29,Bounced,false,false,false,false,Promo,Awareness
EML000033,3553783638,tier_2,2025-08-25,Delivered,false,false,false,false,Promo,Awareness
EML000034,3553783638,tier_2,2025-01-12,Delivered,false,false,false,false,Follow-up,Awareness
EML000035,3553783638,tier_2,2025-02-18,Delivered,false,false,false,false,Reminder,Awareness
EML000036,1147582577,tier_3,2025-11-15,Delivered,true,false,false,false,Follow-up,Offer
EML000037,1147582577,tier_3,2025-06-22,Delivered,false,false,false,false,Promo,Awareness
EML000038,1147582577,tier_3,2025-05-21,Delivered,true,false,false,false,Reminder,Offer
EML000039,1147582577,tier_3,2025-08-13,Delivered,true,false,false,false,Follow-up,Offer
EML000040,1147582577,tier_3,2025-11-07,Delivered,false,false,false,false,Follow-up,Awareness
EML000041,1147582577,tier_3,2025-02-15,Delivered,false,false,false,false,Reminder,Awareness
EML000042,1147582577,tier_3,2025-05-20,Delivered,true,false,false,false,Promo,Generic
EML000043,3903972877,tier_3,2025-05-03,Bounced,false,false,false,false,Follow-up,Product
EML000044,3903972877,tier_3,2025-11-11,Delivered,false,false,false,false,Reminder,Awareness
EML000045,3903972877,tier_3,2025-12-24,Delivered,false,false,false,false,Reminder,Product
EML000046,3903972877,tier_3,2025-04-26,Delivered,false,false,false,false,Promo,Generic
EML000047,1864927662,unidentified,2025-10-01,Delivered,false,false,false,false,Reminder,Product
EML000048,1864927662,unidentified,2025-11-24,Delivered,false,false,false,false,Reminder,Offer
EML000049,4885189351,tier_2,2025-02-12,Delivered,false,false,false,false,Education,Awareness
EML000050,4885189351,tier_2,2025-05-29,Delivered,true,false,false,false,Reminder,Product
EML000051,4885189351,tier_2,2025-04-06,Delivered,false,false,false,false,Education,Offer
EML000052,4885189351,tier_2,2025-12-31,Delivered,false,false,false,false,Education,Offer
EML000053,4885189351,tier_2,2025-02-02,Delivered,true,false,false,false,Follow-up,Awareness
EML000054,4885189351,tier_2,2025-02-04,Delivered,false,false,false,false,Education,Product
EML000055,4885189351,tier_2,2025-06-27,Delivered,false,false,false,false,Reminder,Awareness
EML000056,4885189351,tier_2,2025-12-21,Delivered,false,false,false,false,Education,Generic
EML000057,6285466805,tier_2,2025-12-13,Delivered,true,true,false,false,Reminder,Offer
EML000058,6285466805,tier_2,2025-11-07,Delivered,true,false,false,false,Education,Generic
EML000059,6285466805,tier_2,2025-01-11,Delivered,false,false,false,false,Education,Awareness
EML000060,6285466805,tier_2,2025-06-01,Delivered,true,true,false,false,Promo,Awareness
EML000061,6285466805,tier_2,2025-07-08,Delivered,true,false,false,false,Promo,Awareness
EML000062,6285466805,tier_2,2025-05-23,Delivered,false,false,false,false,Promo,Offer
EML000063,6285466805,tier_2,2025-09-10,Delivered,false,false,false,false,Follow-up,Product
EML000064,2070064875,tier_1,2025-02-16,Delivered,true,false,true,false,Promo,Offer
EML000065,2070064875,tier_1,2025-10-04,Delivered,true,false,false,false,Reminder,Generic
EML000066,2070064875,tier_1,2025-04-27,Delivered,true,false,false,false,Education,Product
EML000067,2070064875,tier_1,2025-06-12,Bounced,false,false,false,false,Education,Generic
EML000068,2070064875,tier_1,2025-01-05,Delivered,false,false,false,false,Follow-up,Awareness
EML000069,2070064875,tier_1,2025-08-30,Delivered,false,false,false,false,Follow-up,Awareness
EML000070,2070064875,tier_1,2025-07-27,Delivered,true,true,false,false,Education,Awareness
