ID,HCP_ID,HCO_ID,TARGET_TYPE,HCP_TARGET_FLAG,COUNTRY,HCO_TARGET_FLAG,AREA_ID,AREA_NAME,TERRITORY_ID,TERRITORY_NAME,ZIP_CODE
3220209164,8SBC88624IW4,HCO_0004,tier_1,1,USA,1,A13,Area_13,T164,Territory_164,10652
5196638316,7D1HS39ED334,HCO_0030,tier_3,1,USA,1,A01,Area_1,T007,Territory_7,10026
6761716689,0Y26UHI4F248,HCO_0025,tier_1,1,USA,1,A05,Area_5,T063,Territory_63,10249
5089352732,WL1065I5ZC73,HCO_0079,tier_3,1,USA,1,A03,Area_3,T036,Territory_36,10140
2567320244,7LT6JV9E8919,HCO_0035,tier_3,1,USA,0,A13,Area_13,T174,Territory_174,10692
9748442208,727RT3774NHC,HCO_0038,tier_2,1,USA,1,A12,Area_12,T152,Territory_152,10607
4471737740,1VE22ZEG4414,HCO_0013,unidentified,0,USA,0,A01,Area_1,T009,Territory_9,10032
8412076763,583U56VJXF64,HCO_0013,unidentified,0,USA,0,A02,Area_2,T024,Territory_24,10093
6764041802,393CSJJ36E57,HCO_0027,tier_3,1,USA,0,A05,Area_5,T060,Territory_60,10236
8158488776,77076TD1J5AA,HCO_0073,tier_3,1,USA,0,A11,Area_11,T144,Territory_144,10573
6737820387,9E0FSZ265B15,HCO_0041,tier_1,1,USA,1,A14,Area_14,T184,Territory_184,10735
5153798962,6RI471Q29KI0,HCO_0079,tier_1,1,USA,1,A05,Area_5,T057,Territory_57,10227
2152346162,XNC1H9Z67437,HCO_0064,tier_3,1,USA,0,A12,Area_12,T151,Territory_151,10602
4315025322,1GYF27T0N149,HCO_0039,tier_2,1,USA,0,A01,Area_1,T002,Territory_2,10005
6383930493,499448C2TEWZ,HCO_0004,tier_2,1,USA,1,A14,Area_14,T179,Territory_179,10715
4792500918,3Y1H33EAX526,HCO_0042,tier_3,1,USA,1,A07,Area_7,T088,Territory_88,10350
2909018017,7RE6Y4245I4F,HCO_0065,tier_1,1,USA,1,A03,Area_3,T040,Territory_40,10157
7236236727,707BDH0P64J7,HCO_0025,tier_1,1,USA,1,A15,Area_15,T196,Territory_196,10782
5742963370,2QYY521346OL,HCO_0014,tier_2,1,USA,1,A02,Area_2,T027,Territory_27,10104
3632088543,V7G08GB7A863,HCO_0048,unidentified,0,USA,1,A08,Area_8,T098,Territory_98,10388
4188775119,M78N41Q86B2M,HCO_0100,tier_2,1,USA,1,A07,Area_7,T092,Territory_92,10366
5089343906,94LROK05673B,HCO_0001,unidentified,0,USA,1,A12,Area_12,T155,Territory_155,10618
1396456117,D65B64S1C6E3,HCO_0041,tier_2,1,USA,1,A01,Area_1,T012,Territory_12,10047
3206745398,H2A196T7F09T,HCO_0022,unidentified,0,USA,1,A11,Area_11,T138,Territory_138,10548
8092061771,9K5J36984NYQ,HCO_0053,tier_2,1,USA,0,A08,Area_8,T097,Territory_97,10384
3147776905,9GNO6UA66236,HCO_0065,unidentified,0,USA,1,A11,Area_11,T142,Territory_142,10566
5030893855,5XVT9180I2K6,HCO_0058,tier_2,1,USA,1,A12,Area_12,T161,Territory_161,10642
9338365518,0K4D0R41KZ30,HCO_0022,tier_2,1,USA,1,A11,Area_11,T148,Territory_148,10589
6867358377,BEL156Q15G59,HCO_0026,tier_3,1,USA,0,A14,Area_14,T181,Territory_181,10720
1799495397,RL212UI7040J,HCO_0060,tier_2,1,USA,0,A01,Area_1,T012,Territory_12,10045
6486156314,16GH85W758KM,HCO_0090,tier_2,1,USA,0,A15,Area_15,T198,Territory_198,10790
8514564049,18H8J693R0NL,HCO_0074,tier_1,1,USA,1,A02,Area_2,T021,Territory_21,10081
9909638096,T5585EXQ584Y,HCO_0083,unidentified,0,USA,0,A02,Area_2,T026,Territory_26,10103
5183076186,4W05I148NA8W,HCO_0049,tier_1,1,USA,0,A06,Area_6,T072,Territory_72,10287
6059641203,O58D5YS3084L,HCO_0061,tier_1,1,USA,1,A13,Area_13,T163,Territory_163,10650
3160887445,I4T4F4I3K078,HCO_0016,unidentified,0,USA,1,A03,Area_3,T042,Territory_42,10166
5255141025,23J3LA2D325L,HCO_0047,tier_1,1,USA,1,A07,Area_7,T091,Territory_91,10361
3297507531,28L82QR5I25X,HCO_0058,tier_2,1,USA,1,A13,Area_13,T172,Territory_172,10686
1832632259,9490HR6O54KC,HCO_0023,tier_2,1,USA,1,A14,Area_14,T180,Territory_180,10716
9935458273,FF937DP3O048,HCO_0019,unidentified,0,USA,0,A12,Area_12,T156,Territory_156,10621
9908195096,65CSF7U0843H,HCO_0041,tier_3,1,USA,1,A11,Area_11,T137,Territory_137,10545
8499510858,HW8MWO089653,HCO_0050,tier_1,1,USA,0,A03,Area_3,T042,Territory_42,10167
3266571152,79C34T2I4HO6,HCO_0006,tier_2,1,USA,0,A08,Area_8,T098,Territory_98,10390
4372908700,2WM74K2L3C57,HCO_0018,tier_1,1,USA,1,A13,Area_13,T164,Territory_164,10653
1358465998,B28EQ6301YI4,HCO_0080,tier_2,1,USA,1,A14,Area_14,T176,Territory_176,10702
5310829629,2E272K848EFE,HCO_0038,tier_3,1,USA,1,A15,Area_15,T197,Territory_197,10784
4061218508,C635CD601HD8,HCO_0056,unidentified,0,USA,1,A05,Area_5,T059,Territory_59,10232
6681453442,8AF70NP7469Y,HCO_0062,unidentified,0,USA,0,A06,Area_6,T081,Territory_81,10323
6351623720,XCM375616AQ0,HCO_0061,tier_2,1,USA,1,A05,Area_5,T069,Territory_69,10272
1042588302,3I7S6U06GG29,HCO_0024,tier_1,1,USA,0,A04,Area_4,T055,Territory_55,10218
7695385322,8500O42YA4LQ,HCO_0017,tier_2,1,USA,1,A04,Area_4,T055,Territory_55,10219
9483639124,M53R7786B1VJ,HCO_0022,tier_3,1,USA,1,A08,Area_8,T102,Territory_102,10407
2914005237,3S06SM445JZ6,HCO_0092,tier_1,1,USA,1,A03,Area_3,T037,Territory_37,10146
3877724223,H687PX83U01C,HCO_0059,tier_1,1,USA,1,A03,Area_3,T036,Territory_36,10141
5132747768,4JL3162JQ86V,HCO_0100,unidentified,0,USA,1,A15,Area_15,T191,Territory_191,10762
6931412612,2NS778JTP954,HCO_0001,tier_1,1,USA,1,A15,Area_15,T192,Territory_192,10767
6633233801,5Q82MRU43K14,HCO_0015,tier_1,1,USA,1,A12,Area_12,T150,Territory_150,10599
9966937827,W262Z15WW8V4,HCO_0067,tier_3,1,USA,1,A07,Area_7,T093,Territory_93,10369
5503302259,S940U79SV68F,HCO_0082,tier_2,1,USA,1,A03,Area_3,T036,Territory_36,10143
2469379058,3G9G173BF2X1,HCO_0057,tier_2,1,USA,1,A02,Area_2,T024,Territory_24,10092
7295676756,6045WU73TGB4,HCO_0073,tier_1,1,USA,0,A03,Area_3,T029,Territory_29,10113
4599019531,4D86733AU1QR,HCO_0047,unidentified,0,USA,1,A12,Area_12,T161,Territory_161,10641
8496470457,7242AYRW03S2,HCO_0005,unidentified,0,USA,1,A14,Area_14,T175,Territory_175,10699
6529940433,8282Y809FXZH,HCO_0019,unidentified,0,USA,0,A12,Area_12,T153,Territory_153,10608
8161301076,5EL79UX260V5,HCO_0061,tier_1,1,USA,1,A08,Area_8,T099,Territory_99,10395
8795176419,PM1Y8557L74N,HCO_0063,tier_1,1,USA,1,A12,Area_12,T153,Territory_153,10611
6029816529,4W27714UOL6U,HCO_0088,tier_2,1,USA,0,A11,Area_11,T136,Territory_136,10542
7865533603,8675O60SMQ5R,HCO_0065,tier_2,1,USA,1,A11,Area_11,T142,Territory_142,10564
6772224530,4702TZ4SD0F1,HCO_0072,tier_1,1,USA,1,A14,Area_14,T175,Territory_175,10696
2092355696,6ZBF9111H8A1,HCO_0063,unidentified,0,USA,1,A14,Area_14,T175,Territory_175,10698
5260405902,7H399K84F4WZ,HCO_0081,unidentified,0,USA,0,A15,Area_15,T197,Territory_197,10786
7063077220,0S1D583N5GC9,HCO_0078,tier_3,1,USA,0,A03,Area_3,T029,Territory_29,10114
4621363408,C83Q92ASZ556,HCO_0003,tier_3,1,USA,1,A09,Area_9,T112,Territory_112,10445
4688755504,JS76U6B8S380,HCO_0078,tier_2,1,USA,0,A09,Area_9,T117,Territory_117,10464
9184981580,9O44P4Q12O3K,HCO_0047,tier_2,1,USA,1,A14,Area_14,T185,Territory_185,10738
4544296101,56G5H9U01R5P,HCO_0075,tier_3,1,USA,0,A10,Area_10,T129,Territory_129,10513
9317651956,M7D65DC1436L,HCO_0010,unidentified,0,USA,1,A10,Area_10,T130,Territory_130,10516
2934457025,466TX7DXI865,HCO_0037,tier_3,1,USA,1,A12,Area_12,T161,Territory_161,10642
3661036297,503QJ47YOW55,HCO_0015,tier_3,1,USA,1,A13,Area_13,T164,Territory_164,10653
6925520346,73SG648O31HC,HCO_0003,tier_1,1,USA,1,A03,Area_3,T040,Territory_40,10158
6567489281,12GOV7P8347D,HCO_0019,unidentified,0,USA,0,A15,Area_15,T196,Territory_196,10781
6498821332,VE6M04B366Y3,HCO_0031,unidentified,0,USA,1,A11,Area_11,T139,Territory_139,10552
5613189066,2H104Y98ZI1R,HCO_0038,unidentified,0,USA,1,A12,Area_12,T154,Territory_154,10614
5599613279,2T946J7AO0F9,HCO_0086,unidentified,0,USA,0,A10,Area_10,T126,Territory_126,10500
2803230046,NOE575Q6934F,HCO_0047,tier_2,1,USA,1,A03,Area_3,T029,Territory_29,10114
5313029316,35523Z9W1PFK,HCO_0051,tier_1,1,USA,1,A06,Area_6,T079,Territory_79,10313
3109159421,I201C56LS32M,HCO_0045,unidentified,0,USA,1,A02,Area_2,T015,Territory_15,10057
6087096432,EA2Y707857JC,HCO_0053,tier_2,1,USA,0,A11,Area_11,T146,Territory_146,10580
1875923085,34C00D45F4EC,HCO_0081,tier_1,1,USA,0,A02,Area_2,T022,Territory_22,10087
6892990001,604CKL665UH0,HCO_0061,tier_3,1,USA,1,A02,Area_2,T018,Territory_18,10069
4912832119,T1569K19DUP1,HCO_0028,tier_3,1,USA,0,A03,Area_3,T033,Territory_33,10131
7066328691,43450IQ5ZNU5,HCO_0011,tier_3,1,USA,1,A11,Area_11,T141,Territory_141,10561
6482076370,4Y173NQ910IC,HCO_0084,tier_1,1,USA,1,A05,Area_5,T068,Territory_68,10271
8278928971,I19Z1DX721G7,HCO_0069,tier_3,1,USA,0,A04,Area_4,T055,Territory_55,10217
9820810666,77HJ4NP4989A,HCO_0053,unidentified,0,USA,0,A14,Area_14,T183,Territory_183,10730
2221364951,SU12AIZ53480,HCO_0030,tier_1,1,USA,1,A08,Area_8,T103,Territory_103,10410
7293129111,2M34J8X8QP91,HCO_0027,tier_2,1,USA,0,A09,Area_9,T113,Territory_113,10451
4372247178,5IFD99225XG4,HCO_0038,tier_2,1,USA,1,A03,Area_3,T031,Territory_31,10121
3796275762,N4126P9MY98K,HCO_0027,tier_1,1,USA,0,A05,Area_5,T058,Territory_58,10228
9849863601,797256PQ7QUN,HCO_0016,unidentified,0,USA,1,A07,Area_7,T087,Territory_87,10344
9109964286,DP3GB3261E27,HCO_0087,tier_1,1,USA,1,A12,Area_12,T151,Territory_151,10601
6381408838,876X4QG078MQ,HCO_0002,tier_2,1,USA,1,A12,Area_12,T151,Territory_151,10601
7401636535,W3RA492I70D7,HCO_0049,unidentified,0,USA,0,A01,Area_1,T002,Territory_2,10004
2560726562,81ML955MR37I,HCO_0057,tier_2,1,USA,1,A14,Area_14,T182,Territory_182,10724
6382115046,R52423F4WGZ4,HCO_0064,tier_3,1,USA,0,A05,Area_5,T059,Territory_59,10232
1821350555,405GGHL5418I,HCO_0040,tier_1,1,USA,0,A01,Area_1,T009,Territory_9,10034
1462601370,761E35ZH3EZ9,HCO_0037,unidentified,0,USA,1,A02,Area_2,T019,Territory_19,10073
4102867457,JL1483TWZ070,HCO_0100,tier_2,1,USA,1,A06,Area_6,T072,Territory_72,10287
6024282110,A67ERW57P414,HCO_0039,tier_1,1,USA,0,A04,Area_4,T055,Territory_55,10217
1974985222,9IS09T20R96X,HCO_0076,unidentified,0,USA,1,A14,Area_14,T186,Territory_186,10743
9059930337,T05VR6FN4237,HCO_0025,tier_3,1,USA,1,A05,Area_5,T063,Territory_63,10251
3129521081,1WC5ZW55N511,HCO_0035,unidentified,0,USA,0,A08,Area_8,T105,Territory_105,10417
6390125357,514XMMM9011W,HCO_0079,tier_1,1,USA,1,A02,Area_2,T025,Territory_25,10096
9176578798,O1A01T24V15T,HCO_0037,tier_3,1,USA,1,A13,Area_13,T169,Territory_169,10675
6191885902,7A59AT52DN12,HCO_0012,unidentified,0,USA,1,A07,Area_7,T091,Territory_91,10363
2206522406,20K4IO5U999W,HCO_0044,unidentified,0,USA,1,A08,Area_8,T106,Territory_106,10423
2519555077,S4T50440C9VJ,HCO_0048,tier_3,1,USA,1,A14,Area_14,T187,Territory_187,10744
2997674497,072OIJ8N1U55,HCO_0046,unidentified,0,USA,1,A13,Area_13,T173,Territory_173,10688
4377531383,0NF7E0B8479Y,HCO_0025,tier_2,1,USA,1,A02,Area_2,T016,Territory_16,10063
4546610052,W329671QV4IK,HCO_0008,tier_1,1,USA,0,A14,Area_14,T187,Territory_187,10746
2154010655,5Y7P20MJ0W46,HCO_0036,tier_3,1,USA,0,A02,Area_2,T028,Territory_28,10109
4506405939,361LSO69R9V6,HCO_0038,tier_1,1,USA,1,A04,Area_4,T050,Territory_50,10197
6188282564,9DH9976S9U6V,HCO_0015,tier_1,1,USA,1,A11,Area_11,T138,Territory_138,10551
3234378693,081285MPHTT8,HCO_0031,unidentified,0,USA,1,A03,Area_3,T036,Territory_36,10143
5325002425,L510V015IR4G,HCO_0052,tier_2,1,USA,0,A04,Area_4,T047,Territory_47,10186
2888200662,M99I1I467IX5,HCO_0058,tier_2,1,USA,1,A09,Area_9,T119,Territory_119,10473
5786936155,Z56ZG18P78P1,HCO_0054,unidentified,0,USA,1,A02,Area_2,T020,Territory_20,10079
2232345226,RS82WVH66338,HCO_0010,tier_3,1,USA,1,A11,Area_11,T141,Territory_141,10560
8729729174,R2Q800PRU347,HCO_0073,tier_1,1,USA,0,A01,Area_1,T013,Territory_13,10048
7743395346,96HA81DM03P3,HCO_0050,tier_2,1,USA,0,A02,Area_2,T024,Territory_24,10093
2213276081,9NED3894PG95,HCO_0053,unidentified,0,USA,0,A04,Area_4,T043,Territory_43,10171
1406165242,I533D05OK9M5,HCO_0006,tier_2,1,USA,0,A10,Area_10,T125,Territory_125,10499
3801307383,NJ2X136N435E,HCO_0073,tier_2,1,USA,0,A04,Area_4,T055,Territory_55,10219
4089302856,8B08O084WFV7,HCO_0003,tier_2,1,USA,1,A02,Area_2,T016,Territory_16,10061
6337951996,13QFW97U877C,HCO_0045,tier_2,1,USA,1,A08,Area_8,T098,Territory_98,10388
3657694635,7OCW7IZ34373,HCO_0011,tier_3,1,USA,1,A08,Area_8,T100,Territory_100,10398
7149752306,8A432WI3H25S,HCO_0006,unidentified,0,USA,0,A09,Area_9,T117,Territory_117,10466
5396231926,2Q4UUZP37659,HCO_0011,tier_1,1,USA,1,A08,Area_8,T109,Territory_109,10435
5830720203,X21P728A5IJ3,HCO_0095,tier_1,1,USA,1,A03,Area_3,T040,Territory_40,10157
3958161371,C5IB0408W7J6,HCO_0028,tier_3,1,USA,0,A06,Area_6,T076,Territory_76,10301
9416451862,52E86G80J8II,HCO_0014,unidentified,0,USA,1,A02,Area_2,T015,Territory_15,10056
6932012317,5UD16451J8OK,HCO_0004,tier_1,1,USA,1,A15,Area_15,T192,Territory_192,10766
7006993393,Q538T8KKN204,HCO_0070,tier_3,1,USA,0,A02,Area_2,T015,Territory_15,10056
8621331016,768X9F595HND,HCO_0081,tier_2,1,USA,0,A12,Area_12,T150,Territory_150,10599
8219926719,4N56ZX6E80Y9,HCO_0100,tier_1,1,USA,1,A10,Area_10,T129,Territory_129,10513
2330920790,9ZFU0G1569V0,HCO_0038,tier_1,1,USA,1,A02,Area_2,T015,Territory_15,10056
9128258077,KP15D0C03P63,HCO_0018,tier_3,1,USA,1,A04,Area_4,T048,Territory_48,10188
6112084613,YZ63431GJX31,HCO_0090,tier_3,1,USA,0,A12,Area_12,T153,Territory_153,10608
5889831234,83Q0YT2E75Y0,HCO_0062,unidentified,0,USA,0,A13,Area_13,T173,Territory_173,10689
3467151833,62E8ED4C8I76,HCO_0023,tier_3,1,USA,1,A08,Area_8,T104,Territory_104,10412
3192387771,M0Y421Y90YQ0,HCO_0075,tier_1,1,USA,0,A11,Area_11,T146,Territory_146,10581
1327980352,514550OJVL5C,HCO_0049,tier_2,1,USA,0,A12,Area_12,T149,Territory_149,10592
4357145858,4CH1HS935N02,HCO_0057,tier_1,1,USA,1,A12,Area_12,T159,Territory_159,10632
4125333689,9L87SJB572W5,HCO_0004,tier_2,1,USA,1,A08,Area_8,T108,Territory_108,10430
8961237730,87Y47CE44Y6P,HCO_0056,tier_2,1,USA,1,A05,Area_5,T067,Territory_67,10265
6235434502,63OH7M2B776U,HCO_0059,tier_3,1,USA,1,A13,Area_13,T172,Territory_172,10686
2054248964,3JVA061A5E50,HCO_0040,tier_1,1,USA,0,A05,Area_5,T062,Territory_62,10246
2887376509,12JF5K152LY2,HCO_0003,tier_1,1,USA,1,A08,Area_8,T102,Territory_102,10405
4545587725,0M9HX4E107W3,HCO_0032,unidentified,0,USA,0,A13,Area_13,T172,Territory_172,10686
2727008780,G4RJA603299A,HCO_0057,unidentified,0,USA,1,A09,Area_9,T118,Territory_118,10470
6583935250,33JN7E893EH5,HCO_0060,tier_2,1,USA,0,A15,Area_15,T193,Territory_193,10768
3881270957,39021GNZM5S1,HCO_0066,tier_1,1,USA,0,A01,Area_1,T003,Territory_3,10011
5749697783,TR1E89J19J18,HCO_0018,unidentified,0,USA,1,A12,Area_12,T160,Territory_160,10636
5634979915,99Z8S38U9O9E,HCO_0021,tier_1,1,USA,0,A02,Area_2,T019,Territory_19,10073
1252668939,6AK0U2055SW3,HCO_0062,unidentified,0,USA,0,A10,Area_10,T130,Territory_130,10518
7479893159,SYD679Y06Z58,HCO_0032,unidentified,0,USA,0,A03,Area_3,T034,Territory_34,10134
2603538922,X4SKF56G4627,HCO_0019,tier_3,1,USA,0,A02,Area_2,T018,Territory_18,10069
8816250181,6G57F3M396VM,HCO_0056,tier_1,1,USA,1,A07,Area_7,T095,Territory_95,10378
8802969143,FV391839T4TP,HCO_0012,unidentified,0,USA,1,A03,Area_3,T041,Territory_41,10163
8409305288,36Q5XEM78A32,HCO_0028,tier_3,1,USA,0,A11,Area_11,T140,Territory_140,10558
3356240461,BS8U37644I9N,HCO_0052,tier_1,1,USA,0,A12,Area_12,T157,Territory_157,10624
1899568986,6QQ05AU8X956,HCO_0028,tier_2,1,USA,0,A13,Area_13,T171,Territory_171,10682
7195104705,7LH565856PFE,HCO_0070,unidentified,0,USA,0,A13,Area_13,T170,Territory_170,10676
4179979667,9K342FCY42S3,HCO_0062,unidentified,0,USA,0,A03,Area_3,T035,Territory_35,10138
9290365881,HZ92X1P4142U,HCO_0061,tier_1,1,USA,1,A03,Area_3,T030,Territory_30,10116
6618590272,1D7Q9A70Y2Q2,HCO_0064,tier_2,1,USA,0,A15,Area_15,T191,Territory_191,10761
1658531770,OU26814V7RY8,HCO_0034,tier_3,1,USA,1,A05,Area_5,T070,Territory_70,10278
4854997368,AN2557PQ441U,HCO_0059,tier_3,1,USA,1,A12,Area_12,T155,Territory_155,10617
1406875048,225I6PZ31V0O,HCO_0048,unidentified,0,USA,1,A14,Area_14,T184,Territory_184,10734
8958620214,626L3Q7Q91VC,HCO_0021,tier_2,1,USA,0,A04,Area_4,T053,Territory_53,10210
7938044798,16C6P7351TEL,HCO_0026,unidentified,0,USA,0,A10,Area_10,T130,Territory_130,10519
5750331329,Q1V968879HTX,HCO_0022,tier_1,1,USA,1,A05,Area_5,T065,Territory_65,10256
2354082663,HZJ8L221665W,HCO_0038,tier_2,1,USA,1,A02,Area_2,T024,Territory_24,10095
4201647418,ZW6Q29O9V351,HCO_0050,tier_1,1,USA,0,A06,Area_6,T071,Territory_71,10280
5085762068,63W3JQ626O2Q,HCO_0062,tier_2,1,USA,0,A01,Area_1,T001,Territory_1,10002
6361615397,5F77Q025P3EA,HCO_0008,unidentified,0,USA,0,A15,Area_15,T198,Territory_198,10789
8663021387,8N39ZM0P214X,HCO_0021,tier_1,1,USA,0,A13,Area_13,T164,Territory_164,10654
4138163958,5W9341T27QET,HCO_0051,tier_1,1,USA,1,A03,Area_3,T042,Territory_42,10167
8109825691,07ND2397GN8M,HCO_0005,tier_2,1,USA,1,A11,Area_11,T142,Territory_142,10567
1952111967,9E49DH389G9S,HCO_0032,tier_2,1,USA,0,A11,Area_11,T144,Territory_144,10572
1439806116,83YV0E876Q7H,HCO_0042,unidentified,0,USA,1,A03,Area_3,T029,Territory_29,10112
8347403705,0160L47SY2LY,HCO_0031,unidentified,0,USA,1,A14,Area_14,T177,Territory_177,10705
4195680269,SK5T138128JP,HCO_0024,tier_3,1,USA,0,A11,Area_11,T140,Territory_140,10556
7991015077,1SI338B3KL13,HCO_0097,unidentified,0,USA,1,A07,Area_7,T095,Territory_95,10377
3837837130,619B530A3IRR,HCO_0041,tier_2,1,USA,1,A09,Area_9,T111,Territory_111,10441
7991288048,27527U2WZ9UW,HCO_0032,tier_2,1,USA,0,A01,Area_1,T011,Territory_11,10042
7537710396,H2II630M2X35,HCO_0032,tier_2,1,USA,0,A07,Area_7,T094,Territory_94,10372
6388958248,14V98SE51B5B,HCO_0004,unidentified,0,USA,1,A07,Area_7,T092,Territory_92,10365
2117490888,XL8C43C5777Z,HCO_0065,tier_3,1,USA,1,A14,Area_14,T175,Territory_175,10697
2110423846,6YN1N507T3V7,HCO_0063,tier_2,1,USA,1,A13,Area_13,T171,Territory_171,10680
7925746428,86A2M4R713LP,HCO_0068,tier_2,1,USA,0,A07,Area_7,T091,Territory_91,10363
2126111727,89EG97K4U46H,HCO_0023,tier_2,1,USA,1,A12,Area_12,T159,Territory_159,10633
9050218086,2967TZ18PY1H,HCO_0083,tier_2,1,USA,0,A05,Area_5,T061,Territory_61,10241
7150650762,6UW4S740T5D4,HCO_0056,unidentified,0,USA,1,A04,Area_4,T046,Territory_46,10183
9342583573,7P80X9F05U4U,HCO_0072,tier_2,1,USA,1,A01,Area_1,T007,Territory_7,10025
8513640696,80K6DT47PD15,HCO_0099,tier_3,1,USA,0,A15,Area_15,T189,Territory_189,10754
8817424350,GXC7VM144835,HCO_0077,tier_3,1,USA,1,A08,Area_8,T106,Territory_106,10421
5733690227,QK95S4147I2Q,HCO_0024,tier_3,1,USA,0,A05,Area_5,T069,Territory_69,10273
5732040332,260BM8R490XT,HCO_0039,tier_3,1,USA,0,A14,Area_14,T180,Territory_180,10716
8724806479,85M8V9Y1X55C,HCO_0086,tier_1,1,USA,0,A08,Area_8,T098,Territory_98,10388
5374323163,ERS02789MQ97,HCO_0043,tier_1,1,USA,1,A09,Area_9,T121,Territory_121,10481
6713386153,M4A9845H32HN,HCO_0092,unidentified,0,USA,1,A04,Area_4,T052,Territory_52,10207
6111769479,3WMO56237PV7,HCO_0077,tier_1,1,USA,1,A07,Area_7,T090,Territory_90,10358
6114236919,GY5J8072X71D,HCO_0065,tier_3,1,USA,1,A05,Area_5,T059,Territory_59,10233
1658225215,94QJ32B181EN,HCO_0034,tier_2,1,USA,1,A01,Area_1,T007,Territory_7,10025
5457944139,RX70215M0VC8,HCO_0007,tier_3,1,USA,0,A08,Area_8,T103,Territory_103,10410
8265900703,3E92E2H931TR,HCO_0082,tier_1,1,USA,1,A06,Area_6,T072,Territory_72,10284
4676486222,I85L27L095KA,HCO_0030,tier_3,1,USA,1,A15,Area_15,T198,Territory_198,10790
3264033021,Y96Z77V742NY,HCO_0073,unidentified,0,USA,0,A07,Area_7,T090,Territory_90,10359
9793219593,16G14BLI357R,HCO_0065,tier_3,1,USA,1,A13,Area_13,T174,Territory_174,10694
3119728566,X32RJ3K004L6,HCO_0049,unidentified,0,USA,0,A01,Area_1,T008,Territory_8,10028
7813628361,852CYA2L32C2,HCO_0091,unidentified,0,USA,1,A05,Area_5,T067,Territory_67,10265
8046427041,8E554636GJFB,HCO_0018,unidentified,0,USA,1,A12,Area_12,T149,Territory_149,10594
3626415866,T999G9XPV513,HCO_0038,tier_2,1,USA,1,A01,Area_1,T010,Territory_10,10036
5814110794,GCG58F956U72,HCO_0038,tier_1,1,USA,1,A12,Area_12,T153,Territory_153,10611
9497581545,S69T0JT39V77,HCO_0054,unidentified,0,USA,1,A07,Area_7,T089,Territory_89,10354
8958353974,R78096PFT3D9,HCO_0013,tier_2,1,USA,0,A09,Area_9,T112,Territory_112,10444
7352373940,XX617110YY9N,HCO_0010,tier_2,1,USA,1,A08,Area_8,T099,Territory_99,10393
9450757941,4M38N2YB4E94,HCO_0006,tier_3,1,USA,0,A05,Area_5,T066,Territory_66,10260
9862522454,86RZF60Z08A0,HCO_0067,unidentified,0,USA,1,A14,Area_14,T182,Territory_182,10727
6983486621,KDB6C9707E82,HCO_0062,tier_2,1,USA,0,A01,Area_1,T001,Territory_1,10001
8711867331,O3X88OX0779V,HCO_0027,tier_1,1,USA,0,A07,Area_7,T094,Territory_94,10375
8361249220,2924NC70D8CO,HCO_0026,tier_2,1,USA,0,A02,Area_2,T018,Territory_18,10070
1852027898,C7Q6N781RR78,HCO_0091,tier_1,1,USA,1,A12,Area_12,T160,Territory_160,10638
6417818484,4E2NL5U0K265,HCO_0061,unidentified,0,USA,1,A13,Area_13,T170,Territory_170,10676
6913139422,953LAL55ZS64,HCO_0039,tier_2,1,USA,0,A14,Area_14,T185,Territory_185,10738
9113704699,WN9Z900E3B68,HCO_0077,unidentified,0,USA,1,A10,Area_10,T130,Territory_130,10518
1766725331,60Y2I9GK610F,HCO_0002,tier_1,1,USA,1,A13,Area_13,T171,Territory_171,10683
9498159886,I85Y8003YVJ4,HCO_0002,unidentified,0,USA,1,A07,Area_7,T084,Territory_84,10335
4792622953,W0H26ME7319I,HCO_0056,tier_2,1,USA,1,A14,Area_14,T179,Territory_179,10714
3689265376,J8LE99H536U2,HCO_0028,tier_2,1,USA,0,A11,Area_11,T142,Territory_142,10565
4824045625,515I1U88PSE1,HCO_0051,unidentified,0,USA,1,A04,Area_4,T050,Territory_50,10199
9916322180,4377A37VY9NB,HCO_0027,tier_2,1,USA,0,A13,Area_13,T171,Territory_171,10683
4841126959,08L8OE302Y1M,HCO_0080,tier_3,1,USA,1,A13,Area_13,T174,Territory_174,10693
3580867247,4G6W3U27F8B4,HCO_0059,tier_3,1,USA,1,A12,Area_12,T158,Territory_158,10630
2533035026,0B413QJS60X7,HCO_0025,unidentified,0,USA,1,A08,Area_8,T104,Territory_104,10412
9475262827,HQRV50406E41,HCO_0052,tier_3,1,USA,0,A06,Area_6,T078,Territory_78,10310
5669457205,79D1L1593DHP,HCO_0080,tier_1,1,USA,1,A04,Area_4,T054,Territory_54,10215
8378044546,E08RGR51U578,HCO_0004,tier_2,1,USA,1,A12,Area_12,T149,Territory_149,10594
3470216056,26D9I7SBN761,HCO_0062,tier_1,1,USA,0,A09,Area_9,T120,Territory_120,10479
5148103837,MQ3VG7228M13,HCO_0023,tier_1,1,USA,1,A09,Area_9,T114,Territory_114,10453
1692800893,MQ85LI9L0541,HCO_0056,unidentified,0,USA,1,A10,Area_10,T131,Territory_131,10523
