MONTH,AREA,TERRITORY,CHANNEL,SEARCH_ENGINE,CAMPAIGN_ID,CAMPAIGN_NAME,IMPRESSIONS,CLICKS,COST,CTR,AVG_CPC
2025-01,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,141958,7073,271203.43,0.0498,38.34
2025-01,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,139879,5585,198836.41,0.0399,35.60
2025-01,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,107498,5730,459038.90,0.0533,80.11
2025-01,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,298167,12685,325258.09,0.0425,25.64
2025-02,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,214027,12184,244628.85,0.0569,20.08
2025-02,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,123355,2364,119202.87,0.0192,50.42
2025-02,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,278795,3109,225332.44,0.0112,72.48
2025-02,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,169503,4170,236172.89,0.0246,56.64
2025-03,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,85725,1245,101889.06,0.0145,81.84
2025-03,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,87435,3122,247391.83,0.0357,79.24
2025-03,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,293538,15556,1369406.41,0.0530,88.03
2025-03,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,276840,3668,421411.22,0.0132,114.89
2025-04,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,259931,9920,580733.17,0.0382,58.54
2025-04,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,88148,1899,83750.74,0.0215,44.10
2025-04,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,174555,2810,195344.71,0.0161,69.52
2025-04,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,126530,7018,321971.79,0.0555,45.88
2025-05,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,220551,10535,658601.71,0.0478,62.52
2025-05,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,260181,9713,373809.13,0.0373,38.49
2025-05,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,222283,12664,1386489.36,0.0570,109.48
2025-05,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,31534,454,17977.62,0.0144,39.60
2025-06,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,283160,16439,1717109.19,0.0581,104.45
2025-06,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,44300,1044,107400.20,0.0236,102.87
2025-06,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,294329,17148,1383902.33,0.0583,80.70
2025-06,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,256584,6366,232528.93,0.0248,36.53
2025-07,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,68984,4093,397939.78,0.0593,97.22
2025-07,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,153767,1580,160442.91,0.0103,101.55
2025-07,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,184231,8557,831116.04,0.0464,97.13
2025-07,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,154633,4317,136360.67,0.0279,31.59
2025-08,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,290536,11959,634900.95,0.0412,53.09
2025-08,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,97373,2556,237607.34,0.0262,92.96
2025-08,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,293109,15933,1071040.04,0.0544,67.22
2025-08,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,159182,7268,698298.57,0.0457,96.08
2025-09,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,118806,5767,400111.92,0.0485,69.38
2025-09,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,139176,6337,197011.51,0.0455,31.09
2025-09,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,43419,668,15459.47,0.0154,23.14
2025-09,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,268550,9068,692138.29,0.0338,76.33
2025-10,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,231428,5198,317277.04,0.0225,61.04
2025-10,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,269002,5421,619540.92,0.0202,114.29
