MONTH,AREA,TERRITORY,SOURCE,SESSIONS,ENGAGED_SESSIONS,PAGEVIEWS,EVENT_CLICKS,EVENT_FORM_SUBMIT,EVENT_DOWNLOADS,EVENT_REGISTRATIONS,SCROLL_25,SCROLL_50,SCROLL_75,SCROLL_100
2025-01,Area_13,T164,Paid Search,12742,7689,46768,2506,401,318,86,8671,6936,5339,3956
2025-01,Area_13,T164,Organic Search,25468,14963,89723,3841,961,519,719,17287,14696,9754,7368
2025-01,Area_13,T164,Direct,33270,25557,63196,4275,1331,1000,555,22006,17564,12173,7829
2025-01,Area_13,T164,Referral,15760,11331,38485,2141,331,371,217,12564,9725,6951,4975
2025-01,Area_13,T164,Display,9865,7568,20137,1589,265,224,205,7466,5845,3509,1851
2025-02,Area_13,T164,Paid Search,35612,24558,132121,4394,1715,520,755,27322,23871,15179,9629
2025-02,Area_13,T164,Organic Search,35741,21991,143837,2489,798,853,841,26653,19386,13296,7942
2025-02,Area_13,T164,Direct,18581,13471,80901,1648,572,669,306,11761,10112,7325,4095
2025-02,Area_13,T164,Referral,32045,23398,138348,1797,1442,586,541,26886,22676,14439,10072
2025-02,Area_13,T164,Display,35001,21826,102173,4239,1671,1124,211,28957,23243,14982,9252
2025-03,Area_13,T164,Paid Search,11914,5592,37223,1681,513,455,97,7972,6631,4198,2381
2025-03,Area_13,T164,Organic Search,14763,8805,22992,2252,435,245,277,11172,8909,5931,3903
2025-03,Area_13,T164,Direct,13929,9307,47200,2597,675,383,127,9993,8882,6091,4333
2025-03,Area_13,T164,Referral,25350,11804,38649,2642,318,367,141,19200,16115,11389,6154
2025-03,Area_13,T164,Display,26587,20717,119047,2292,277,928,748,19610,16752,13678,9340
2025-04,Area_13,T164,Paid Search,34432,26492,140601,3781,1096,809,769,22868,17488,13727,7615
2025-04,Area_13,T164,Organic Search,34381,17654,105310,4478,779,1104,309,22614,17433,12108,6803
2025-04,Area_13,T164,Direct,36511,19073,106904,6152,551,1270,399,32208,27831,17058,8538
2025-04,Area_13,T164,Referral,6343,4176,23823,375,252,243,127,4353,3632,2825,1968
2025-04,Area_13,T164,Display,16775,8410,27007,1523,343,474,146,11110,9379,6254,3473
